FileName,number_of_atoms,charge,multiplicity,dipole,electronic_spatial_extent,E_scf,zero_point_correction,E_thermal_correction,H_thermal_correction,G_thermal_correction,E_zpe,E,H,G,homo_energy,lumo_energy,electronegativity,hardness
O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,29,0,1,4.2335,7684.3795,-692.1521205,0.229192,0.243757,0.244701,0.184867,-691.927452,-691.912887,-691.911943,-691.971776,-0.2307,-0.08727,0.158985,0.071715
C1(C#CC2=CC=CC=C2)=CC=CN=C1,23,0,1,2.6806,4670.2321,-555.5073298,0.179979,0.190888,0.191832,0.140742,-555.353189,-555.342279,-555.341335,-555.392426,-0.24138,-0.05978,0.15058,0.0908
CC1=CC(OC2=CC=C(OC)C=C2)=CC(C)=C1,33,0,1,1.4371,6541.7215,-731.6181505,0.272767,0.289192,0.290136,0.224736,-731.448642,-731.432218,-731.431273,-731.496673,-0.22529,-0.0325,0.128895,0.096395
CC1=CC(OC2=CC=CC=C2)=CC=C1,26,0,1,1.8141,3962.4036,-577.7773273,0.212781,0.22467,0.225614,0.17217,-577.657854,-577.645965,-577.645021,-577.698465,-0.22893,-0.03093,0.12993,0.099
C1(OC2=CC=CC=C2)=CN=CC=C1,22,0,1,1.0289,3108.2039,-554.4840611,0.173589,0.183465,0.18441,0.136293,-554.410217,-554.400341,-554.399397,-554.447514,-0.23871,-0.05944,0.149075,0.089635
C1(OC2=CN=CC=C2)=CC=CC=C1,22,0,1,4.2609,3100.1289,-554.4835823,0.173591,0.183466,0.18441,0.136244,-554.41039,-554.400515,-554.39957,-554.447737,-0.24358,-0.05171,0.147645,0.095935
CC1=CC(OC2=CC=C([N+]([O-])=O)C=C2)=CC=C1,28,0,1,5.8446,6619.1028,-782.2778776,0.215334,0.229767,0.230711,0.170241,-782.172272,-782.15784,-782.156896,-782.217365,-0.24755,-0.08136,0.164455,0.083095
CC(C=C([N+]([O-])=O)C=C1)=C1OC2=CC=CC=C2,28,0,1,5.5385,5771.7587,-782.2790999,0.215567,0.229849,0.230793,0.171402,-782.173187,-782.158905,-782.15796,-782.217351,-0.24663,-0.07944,0.163035,0.083595
O=C(C(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2)C,34,0,1,4.4059,8912.9837,-844.7972159,0.269822,0.285906,0.28685,0.224001,-844.594492,-844.578409,-844.577465,-844.640314,-0.21886,-0.059,0.13893,0.07993
[C-]#[N+]C2=CC=C(C=C2)C#CC1=CC=CC=C1,25,0,1,4.8857,6344.0916,-631.7134517,0.189474,0.202475,0.203419,0.14745,-631.523977,-631.510977,-631.510033,-631.566002,-0.23136,-0.0812,0.15628,0.07508
N#CC(C=C1)=CC=C1OC2=CC=C(C=CC=C3)C3=C2,30,0,1,6.7348,7512.3045,-784.3963026,0.230802,0.245195,0.246139,0.187262,-784.222111,-784.207717,-784.206773,-784.26565,-0.2298,-0.06934,0.14957,0.08023
CC1=CC=CC(OC2=CC=C(C#N)C=C2)=C1,27,0,1,6.1705,4829.2051,-670.1201356,0.211333,0.225066,0.22601,0.167378,-669.908802,-669.89507,-669.894126,-669.952758,-0.24933,-0.05259,0.15096,0.09837
N#CC1=CC=C(OC2=CN=CC=C2)C=C1,23,0,1,6.2214,4612.0378,-646.7258969,0.172087,0.183822,0.184767,0.131548,-646.659876,-646.648141,-646.647197,-646.700416,-0.25991,-0.07155,0.16573,0.09418
NC2=CC=C(C=C2)C#CC1=CC=CC=C1,26,0,1,1.6278,5615.2647,-594.8519855,0.208089,0.220661,0.221605,0.167199,-594.649756,-594.637184,-594.63624,-594.690645,-0.20911,-0.05451,0.13181,0.0773
CC(C=C2)=CC=C2C#CC1=CC=C(C(C)=O)C=C1,32,0,1,4.5681,9432.2006,-731.478204,0.256349,0.271995,0.272939,0.21063,-731.221855,-731.206209,-731.205265,-731.267574,-0.22437,-0.08351,0.15394,0.07043
ClC(C=C2)=CC=C2C#CC1=CC=CC=C1,24,0,1,2.1014,6687.9731,-999.0948636,0.181937,0.194242,0.195186,0.140397,-998.912926,-998.900622,-998.899678,-998.954467,-0.22368,-0.06622,0.14495,0.07873
FC(C=C2)=CC=C2C#CC1=CC=CC=C1,24,0,1,1.7761,5762.4355,-638.7226922,0.183232,0.195162,0.196106,0.142584,-638.556372,-638.544442,-638.543498,-638.59702,-0.23432,-0.05007,0.142195,0.092125
O=CC(C=C2)=CC=C2C#CC1=CC=CC=C1,26,0,1,4.3323,6592.153,-652.8287218,0.20083,0.213032,0.213976,0.160692,-652.627892,-652.61569,-652.614746,-652.66803,-0.24701,-0.08795,0.16748,0.07953
CC/C(C#CC1=CC=CC=C1)=C\CC,30,0,1,0.4754,5282.2753,-542.9691561,0.257528,0.272034,0.272978,0.212893,-542.847973,-542.833466,-542.832522,-542.892608,-0.21649,-0.04231,0.1294,0.08709
